email,password
customer@test.com,test123
customer2@test.com,test123
customer3@test.com,test123
customer4@test.com,test123
customer5@test.com,test123
customer6@test.com,test123
customer7@test.com,test123
customer8@test.com,test123
customer9@test.com,test123
customer10@test.com,test123
customer11@test.com,test123
customer12@test.com,test123
customer13@test.com,test123
customer14@test.com,test123
customer15@test.com,test123
customer16@test.com,test123
customer17@test.com,test123
customer18@test.com,test123
customer19@test.com,test123
customer20@test.com,test123
customer21@test.com,test123
customer22@test.com,test123
customer23@test.com,test123
customer24@test.com,test123
customer25@test.com,test123
customer26@test.com,test123
customer27@test.com,test123
customer28@test.com,test123
customer29@test.com,test123
customer30@test.com,test123
customer31@test.com,test123
customer32@test.com,test123
customer33@test.com,test123
customer34@test.com,test123
customer35@test.com,test123
customer36@test.com,test123
customer37@test.com,test123
customer38@test.com,test123
customer39@test.com,test123
customer40@test.com,test123
customer41@test.com,test123
customer42@test.com,test123
customer43@test.com,test123
customer44@test.com,test123
customer45@test.com,test123
customer46@test.com,test123
customer47@test.com,test123
customer48@test.com,test123
customer49@test.com,test123
customer50@test.com,test123
